Order_ID,Order_Date,Customer_Name,Region,Product,Quantity,Unit_Price,Total_Sales
1,2024-11-23,Ahmed,Dammam,Laptop,2,1928,3856
2,2024-03-12,Nora,Riyadh,Laptop,5,3556,17780
3,2024-01-17,Ahmed,Jeddah,Laptop,2,4239,8478
4,2024-11-04,Khaled,Jeddah,Laptop,5,3536,17680
5,2024-04-22,Khaled,Dammam,Headphones,1,1407,1407
6,2024-12-23,Mohammed,Dammam,Headphones,2,1863,3726
7,2024-06-21,Ahmed,Abha,Laptop,1,3040,3040
8,2024-06-25,Mohammed,Riyadh,Monitor,4,4492,17968
9,2024-03-04,Ahmed,Dammam,Headphones,5,3062,15310
10,2024-10-22,Nora,Riyadh,Phone,1,1966,1966
11,2024-05-28,Sara,Riyadh,Laptop,4,2377,9508
12,2024-08-20,Sara,Dammam,Tablet,3,1816,5448
13,2024-12-09,Nora,Riyadh,Tablet,5,1501,7505
14,2024-09-30,Sara,Abha,Phone,4,2311,9244
15,2024-11-23,Sara,Dammam,Monitor,1,1976,1976
16,2024-01-17,Lina,Dammam,Tablet,1,1828,1828
17,2024-10-17,Sara,Abha,Tablet,4,3858,15432
18,2024-03-14,Sara,Jeddah,Tablet,5,4515,22575
19,2024-05-14,Lina,Abha,Monitor,3,1896,5688
20,2024-03-11,Lina,Riyadh,Monitor,1,998,998
21,2024-03-19,Nora,Abha,Phone,5,620,3100
22,2024-07-16,Khaled,Abha,Headphones,5,2159,10795
23,2024-10-10,Nora,Riyadh,Laptop,5,2285,11425
24,2024-11-24,Ahmed,Dammam,Tablet,4,1395,5580
25,2024-08-20,Nora,Dammam,Laptop,5,1563,7815
26,2024-09-16,Nora,Dammam,Laptop,5,1729,8645
27,2024-03-19,Sara,Riyadh,Tablet,5,2755,13775
28,2024-09-07,Ahmed,Dammam,Laptop,3,2061,6183
29,2024-01-30,Khaled,Riyadh,Phone,1,4081,4081
30,2024-02-05,Sara,Jeddah,Monitor,4,4603,18412
31,2024-03-25,Khaled,Abha,Tablet,2,4517,9034
32,2024-12-19,Nora,Dammam,Phone,4,3159,12636
33,2024-08-12,Lina,Riyadh,Monitor,2,1940,3880
34,2024-02-02,Ahmed,Jeddah,Tablet,5,1904,9520
35,2024-01-04,Nora,Riyadh,Laptop,2,652,1304
36,2024-01-17,Ahmed,Jeddah,Tablet,3,4076,12228
37,2024-04-19,Sara,Abha,Monitor,2,3974,7948
38,2024-07-27,Ahmed,Riyadh,Phone,4,3002,12008
39,2024-08-04,Lina,Riyadh,Headphones,1,596,596
40,2024-07-25,Ahmed,Jeddah,Tablet,2,1658,3316
41,2024-10-01,Sara,Abha,Headphones,2,2381,4762
42,2024-08-24,Ahmed,Abha,Phone,5,902,4510
43,2024-01-26,Ahmed,Riyadh,Monitor,2,1462,2924
44,2024-07-27,Lina,Jeddah,Headphones,4,580,2320
45,2024-03-25,Ahmed,Abha,Headphones,3,3827,11481
46,2024-05-26,Nora,Abha,Headphones,2,1655,3310
47,2024-05-31,Ahmed,Riyadh,Phone,3,568,1704
48,2024-01-26,Lina,Jeddah,Monitor,1,4260,4260
49,2024-02-11,Ahmed,Riyadh,Phone,2,3407,6814
50,2024-03-02,Sara,Riyadh,Monitor,5,771,3855
51,2024-08-02,Khaled,Dammam,Monitor,3,1773,5319
52,2024-12-08,Sara,Dammam,Tablet,4,1172,4688
53,2024-12-09,Lina,Dammam,Tablet,1,176,176
54,2024-08-22,Khaled,Riyadh,Monitor,1,4504,4504
55,2024-04-19,Mohammed,Jeddah,Monitor,3,663,1989
56,2024-05-05,Mohammed,Jeddah,Tablet,4,4550,18200
57,2024-12-26,Khaled,Riyadh,Tablet,5,2552,12760
58,2024-12-05,Sara,Dammam,Laptop,1,976,976
59,2024-10-10,Mohammed,Dammam,Phone,5,1825,9125
60,2024-06-24,Nora,Dammam,Phone,5,4102,20510
61,2024-05-08,Ahmed,Abha,Laptop,3,461,1383
62,2024-01-02,Sara,Dammam,Tablet,2,3719,7438
63,2024-10-09,Khaled,Riyadh,Headphones,1,716,716
64,2024-12-19,Khaled,Riyadh,Phone,3,4871,14613
65,2024-10-09,Lina,Jeddah,Phone,1,2625,2625
66,2024-07-05,Mohammed,Jeddah,Laptop,2,942,1884
67,2024-06-30,Lina,Jeddah,Monitor,2,1431,2862
68,2024-03-31,Ahmed,Jeddah,Headphones,3,3472,10416
69,2024-12-08,Mohammed,Jeddah,Phone,1,3233,3233
70,2024-01-20,Sara,Jeddah,Headphones,4,2964,11856
71,2024-06-05,Sara,Riyadh,Phone,2,3364,6728
72,2024-06-17,Ahmed,Dammam,Tablet,3,4273,12819
73,2024-07-23,Mohammed,Riyadh,Monitor,1,2239,2239
74,2024-04-01,Mohammed,Riyadh,Monitor,1,4987,4987
75,2024-08-10,Nora,Dammam,Tablet,4,4289,17156
76,2024-02-29,Khaled,Jeddah,Headphones,3,463,1389
77,2024-12-28,Ahmed,Jeddah,Headphones,3,3633,10899
78,2024-02-05,Khaled,Dammam,Tablet,1,2560,2560
79,2024-09-16,Nora,Abha,Tablet,3,3396,10188
80,2024-12-22,Khaled,Jeddah,Tablet,2,3544,7088
81,2024-12-06,Nora,Jeddah,Headphones,5,4762,23810
82,2024-06-03,Khaled,Riyadh,Headphones,3,2450,7350
83,2024-04-17,Khaled,Dammam,Headphones,4,3719,14876
84,2024-08-14,Khaled,Abha,Phone,2,794,1588
85,2024-05-25,Nora,Dammam,Monitor,1,2024,2024
86,2024-12-10,Sara,Jeddah,Tablet,2,300,600
87,2024-01-24,Lina,Riyadh,Phone,4,3495,13980
88,2024-11-18,Sara,Abha,Monitor,4,3373,13492
89,2024-05-04,Nora,Riyadh,Phone,1,3582,3582
90,2024-04-22,Nora,Abha,Phone,1,4666,4666
91,2024-05-07,Lina,Jeddah,Laptop,4,4451,17804
92,2024-10-13,Mohammed,Abha,Monitor,5,4235,21175
93,2024-08-06,Lina,Jeddah,Monitor,4,3786,15144
94,2024-05-12,Nora,Dammam,Phone,5,4069,20345
95,2024-11-16,Mohammed,Abha,Phone,1,2440,2440
96,2024-04-30,Mohammed,Dammam,Tablet,5,760,3800
97,2024-03-11,Sara,Abha,Phone,2,1852,3704
98,2024-02-02,Lina,Dammam,Headphones,5,3916,19580
99,2024-07-31,Sara,Abha,Laptop,4,4884,19536
100,2024-12-22,Khaled,Abha,Laptop,4,148,592
101,2024-06-29,Lina,Abha,Tablet,5,4573,22865
102,2024-11-04,Lina,Jeddah,Phone,3,3670,11010
103,2024-09-05,Lina,Dammam,Laptop,4,1452,5808
104,2024-08-27,Khaled,Riyadh,Phone,4,4948,19792
105,2024-10-15,Ahmed,Abha,Laptop,2,3882,7764
106,2024-04-03,Mohammed,Abha,Laptop,3,1833,5499
107,2024-08-20,Mohammed,Abha,Tablet,3,3553,10659
108,2024-05-09,Lina,Riyadh,Laptop,5,526,2630
109,2024-06-28,Nora,Riyadh,Phone,1,354,354
110,2024-05-06,Ahmed,Jeddah,Phone,2,1134,2268
111,2024-08-30,Khaled,Jeddah,Laptop,4,2199,8796
112,2024-07-07,Khaled,Riyadh,Phone,2,2648,5296
113,2024-02-25,Ahmed,Dammam,Monitor,5,3174,15870
114,2024-07-22,Ahmed,Jeddah,Phone,1,2570,2570
115,2024-12-16,Ahmed,Riyadh,Monitor,3,4464,13392
116,2024-08-07,Ahmed,Dammam,Tablet,1,3541,3541
117,2024-09-07,Lina,Dammam,Laptop,4,1353,5412
118,2024-08-10,Nora,Dammam,Phone,5,4508,22540
119,2024-09-04,Lina,Dammam,Headphones,3,2111,6333
120,2024-02-14,Lina,Jeddah,Tablet,4,4768,19072
121,2024-11-08,Mohammed,Riyadh,Headphones,4,2762,11048
122,2024-04-03,Sara,Dammam,Headphones,3,2888,8664
123,2024-05-23,Nora,Dammam,Monitor,5,183,915
124,2024-09-21,Ahmed,Jeddah,Phone,4,4102,16408
125,2024-10-11,Nora,Abha,Phone,4,3771,15084
126,2024-01-09,Mohammed,Jeddah,Laptop,4,2093,8372
127,2024-06-05,Mohammed,Abha,Monitor,5,4449,22245
128,2024-06-25,Nora,Dammam,Headphones,3,3817,11451
129,2024-05-18,Mohammed,Jeddah,Tablet,1,1677,1677
130,2024-06-10,Nora,Jeddah,Laptop,2,1872,3744
131,2024-09-04,Nora,Dammam,Tablet,1,1690,1690
132,2024-05-31,Mohammed,Jeddah,Phone,3,215,645
133,2024-12-28,Sara,Dammam,Monitor,1,546,546
134,2024-10-10,Nora,Jeddah,Tablet,4,940,3760
135,2024-01-07,Mohammed,Abha,Monitor,4,3708,14832
136,2024-06-23,Ahmed,Dammam,Phone,4,1034,4136
137,2024-02-03,Lina,Riyadh,Headphones,5,539,2695
138,2024-03-18,Khaled,Dammam,Phone,1,2133,2133
139,2024-03-01,Lina,Jeddah,Monitor,5,3216,16080
140,2024-08-18,Mohammed,Abha,Headphones,3,4758,14274
141,2024-11-13,Khaled,Riyadh,Laptop,2,1828,3656
142,2024-05-15,Sara,Jeddah,Laptop,2,4621,9242
143,2024-02-08,Ahmed,Abha,Phone,4,4964,19856
144,2024-08-28,Ahmed,Jeddah,Tablet,3,2416,7248
145,2024-12-25,Ahmed,Jeddah,Headphones,3,4931,14793
146,2024-12-04,Lina,Riyadh,Phone,5,1941,9705
147,2024-11-27,Mohammed,Jeddah,Phone,1,588,588
148,2024-03-25,Khaled,Dammam,Tablet,4,1118,4472
149,2024-08-27,Nora,Abha,Tablet,3,4199,12597
150,2024-10-03,Lina,Riyadh,Headphones,5,426,2130
151,2024-08-09,Khaled,Dammam,Tablet,1,848,848
152,2024-04-27,Khaled,Riyadh,Monitor,3,4820,14460
153,2024-01-21,Lina,Abha,Phone,3,1586,4758
154,2024-10-26,Nora,Abha,Headphones,1,3950,3950
155,2024-06-27,Mohammed,Dammam,Headphones,1,1417,1417
156,2024-06-17,Nora,Abha,Headphones,3,3380,10140
157,2024-10-08,Lina,Riyadh,Laptop,3,2167,6501
158,2024-06-14,Lina,Riyadh,Laptop,5,3884,19420
159,2024-07-30,Sara,Dammam,Laptop,5,4183,20915
160,2024-11-16,Ahmed,Jeddah,Headphones,3,4599,13797
161,2024-03-08,Lina,Abha,Tablet,1,336,336
162,2024-11-18,Sara,Jeddah,Monitor,3,4612,13836
163,2024-01-08,Lina,Riyadh,Monitor,2,1029,2058
164,2024-08-24,Nora,Jeddah,Laptop,4,2490,9960
165,2024-09-17,Lina,Abha,Tablet,4,2096,8384
166,2024-08-21,Sara,Abha,Monitor,2,4263,8526
167,2024-03-10,Mohammed,Abha,Laptop,3,4259,12777
168,2024-05-16,Mohammed,Dammam,Laptop,5,4850,24250
169,2024-12-03,Sara,Abha,Headphones,5,4067,20335
170,2024-06-25,Khaled,Abha,Tablet,4,2736,10944
171,2024-04-06,Khaled,Abha,Phone,2,3465,6930
172,2024-01-23,Nora,Abha,Tablet,4,3262,13048
173,2024-12-05,Lina,Riyadh,Phone,2,4214,8428
174,2024-10-29,Ahmed,Abha,Tablet,1,4408,4408
175,2024-08-21,Nora,Jeddah,Laptop,4,1364,5456
176,2024-02-08,Mohammed,Dammam,Headphones,5,3356,16780
177,2024-11-28,Mohammed,Abha,Laptop,3,4097,12291
178,2024-10-04,Khaled,Riyadh,Laptop,2,2454,4908
179,2024-04-26,Lina,Riyadh,Laptop,1,3734,3734
180,2024-03-26,Ahmed,Riyadh,Tablet,3,559,1677
181,2024-05-30,Mohammed,Abha,Tablet,2,2100,4200
182,2024-09-28,Khaled,Jeddah,Headphones,2,1534,3068
183,2024-02-10,Lina,Jeddah,Monitor,4,4877,19508
184,2024-03-14,Lina,Dammam,Phone,4,2191,8764
